FIP;Year;STATE;HFR;GFI
1;1980;Alabama;0,608;96,14
1;1981;Alabama;0,597;96,14
1;1982;Alabama;0,661;96,14
1;1983;Alabama;0,586;96,14
1;1984;Alabama;0,624;96,14
1;1985;Alabama;0,644;96,14
1;1986;Alabama;0,567;96,14
1;1987;Alabama;0,609;96,14
1;1988;Alabama;0,606;96,14
1;1989;Alabama;0,627;96,14
1;1990;Alabama;0,641;96,14
1;1991;Alabama;0,632;96,14
1;1992;Alabama;0,552;96,14
1;1993;Alabama;0,6;96,14
1;1994;Alabama;0,571;96,14
1;1995;Alabama;0,554;96,14
1;1996;Alabama;0,568;96,14
1;1997;Alabama;0,557;96,14
1;1998;Alabama;0,577;96,14
1;1999;Alabama;0,537;96,14
1;2000;Alabama;0,538;96,14
1;2001;Alabama;0,522;96,14
1;2002;Alabama;0,553;96,14
1;2003;Alabama;0,504;96,14
1;2004;Alabama;0,516;96,14
1;2005;Alabama;0,485;96,14
1;2006;Alabama;0,468;96,14
1;2007;Alabama;0,481;96,14
1;2008;Alabama;0,503;96,14
1;2009;Alabama;0,482;96,14
1;2010;Alabama;0,456;96,14
1;2011;Alabama;0,513;96,14
1;2012;Alabama;0,543;96,14
1;2013;Alabama;0,516;96,14
1;2014;Alabama;0,51;96,14
1;2015;Alabama;0,495;96,14
1;2016;Alabama;0,528;96,14
2;1980;Alaska;0,789;122,9
2;1981;Alaska;0,709;122,9
2;1982;Alaska;0,737;122,9
2;1983;Alaska;0,722;122,9
2;1984;Alaska;0,712;122,9
2;1985;Alaska;0,653;122,9
2;1986;Alaska;0,688;122,9
2;1987;Alaska;0,718;122,9
2;1988;Alaska;0,748;122,9
2;1989;Alaska;0,711;122,9
2;1990;Alaska;0,699;122,9
2;1991;Alaska;0,716;122,9
2;1992;Alaska;0,685;122,9
2;1993;Alaska;0,712;122,9
2;1994;Alaska;0,667;122,9
2;1995;Alaska;0,709;122,9
2;1996;Alaska;0,663;122,9
2;1997;Alaska;0,652;122,9
2;1998;Alaska;0,559;122,9
2;1999;Alaska;0,571;122,9
2;2000;Alaska;0,601;122,9
2;2001;Alaska;0,61;122,9
2;2002;Alaska;0,614;122,9
2;2003;Alaska;0,587;122,9
2;2004;Alaska;0,58;122,9
2;2005;Alaska;0,609;122,9
2;2006;Alaska;0,551;122,9
2;2007;Alaska;0,577;122,9
2;2008;Alaska;0,613;122,9
2;2009;Alaska;0,543;122,9
2;2010;Alaska;0,611;122,9
2;2011;Alaska;0,627;122,9
2;2012;Alaska;0,607;122,9
2;2013;Alaska;0,576;122,9
2;2014;Alaska;0,618;122,9
2;2015;Alaska;0,551;122,9
2;2016;Alaska;0,572;122,9
4;1980;Arizona;0,563;119,26
4;1981;Arizona;0,598;119,26
4;1982;Arizona;0,541;119,26
4;1983;Arizona;0,554;119,26
4;1984;Arizona;0,567;119,26
4;1985;Arizona;0,538;119,26
4;1986;Arizona;0,549;119,26
4;1987;Arizona;0,564;119,26
4;1988;Arizona;0,557;119,26
4;1989;Arizona;0,624;119,26
4;1990;Arizona;0,598;119,26
4;1991;Arizona;0,564;119,26
4;1992;Arizona;0,547;119,26
4;1993;Arizona;0,53;119,26
4;1994;Arizona;0,505;119,26
4;1995;Arizona;0,532;119,26
4;1996;Arizona;0,449;119,26
4;1997;Arizona;0,465;119,26
4;1998;Arizona;0,467;119,26
4;1999;Arizona;0,409;119,26
4;2000;Arizona;0,427;119,26
