,state,n_killed,n_injured,POPESTIMATE2019,lat,long
0,Alabama,1880,2998,4903185,32.377716,-86.300568
1,Alaska,267,325,731545,58.301598,-134.420212
2,Arizona,1094,1096,7278717,33.448143,-112.096962
3,Arkansas,773,1347,3017804,34.746613,-92.288986
4,California,5562,7644,39512223,38.576668,-121.493629
5,Colorado,796,1133,5758736,39.739227,-104.984856
6,Connecticut,341,1258,3565287,41.764046,-72.682198
7,Delaware,217,853,973764,39.157307,-75.519722
8,District of Columbia,459,1415,705749,38.89511,-77.03637
9,Florida,3909,7072,21477737,30.438118,-84.281296
10,Georgia,2456,4056,10617423,33.749027,-84.388229
11,Hawaii,63,85,1415872,21.307442,-157.857376
12,Idaho,166,149,1787065,43.617775,-116.199722
13,Illinois,3409,13514,12671821,39.798363,-89.654961
14,Indiana,1608,2956,6732219,39.768623,-86.162643
15,Iowa,273,821,3155070,41.591087,-93.603729
16,Kansas,542,931,2913314,39.048191,-95.677956
17,Kentucky,1066,1894,4467673,38.186722,-84.875374
18,Louisiana,2179,4398,4648794,30.457069,-91.187393
19,Maine,112,132,1344212,44.307167,-69.781693
20,Maryland,1691,3167,6045680,38.978764,-76.490936
21,Massachusetts,472,1701,6892503,42.358162,-71.063698
22,Michigan,1588,2990,9986857,42.733635,-84.555328
23,Minnesota,461,916,5639632,44.955097,-93.102211
24,Mississippi,1176,1883,2976149,32.303848,-90.182106
25,Missouri,2136,3585,6137428,38.579201,-92.172935
26,Montana,154,136,1068778,46.585709,-112.018417
27,Nebraska,225,674,1934408,40.808075,-96.699654
28,Nevada,799,951,3080156,39.163914,-119.766121
29,New Hampshire,88,144,1359711,43.206898,-71.537994
30,New Jersey,1168,2540,8882190,40.220596,-74.769913
31,New Mexico,495,543,2096829,35.68224,-105.939728
32,New York,1705,5059,19453561,42.652843,-73.757874
33,North Carolina,2225,4629,10488084,35.78043,-78.639099
34,North Dakota,69,130,762062,46.82085,-100.783318
35,Ohio,2508,5703,11689100,39.961346,-82.999069
36,Oklahoma,941,1550,3956971,35.492207,-97.503342
37,Oregon,446,694,4217737,44.938461,-123.030403
38,Pennsylvania,2395,5056,12801989,40.264378,-76.883598
39,Rhode Island,63,346,1059361,41.830914,-71.414963
40,South Carolina,1610,3084,5148714,34.000343,-81.033211
41,South Dakota,90,114,884659,44.367031,-100.346405
42,Tennessee,1824,4478,6829174,36.16581,-86.784241
43,Texas,5046,6106,28995881,30.27467,-97.740349
44,Utah,282,402,3205958,40.777477,-111.888237
45,Vermont,57,73,623989,44.262436,-72.580536
46,Virginia,1459,3566,8535519,37.538857,-77.43364
47,Washington,853,1287,7614893,47.035805,-122.905014
48,West Virginia,335,649,1792147,38.336246,-81.612328
49,Wisconsin,862,2117,5822434,43.074684,-89.384445
50,Wyoming,73,52,578759,41.140259,-104.820236
