,Unnamed: 0,state,n_killed,n_injured,POPESTIMATE2019,lat,long,n_killed_millon
0,0,Alabama,1880,2998,4903185,32.377716,-86.300568,383.424243629396
1,1,Alaska,267,325,731545,58.301598,-134.420212,364.9809649440568
2,2,Arizona,1094,1096,7278717,33.448143,-112.096962,150.30121379908024
3,3,Arkansas,773,1347,3017804,34.746613,-92.288986,256.1465224381703
4,4,California,5562,7644,39512223,38.576668,-121.493629,140.76656734803305
5,5,Colorado,796,1133,5758736,39.739227,-104.984856,138.22477710386445
6,6,Connecticut,341,1258,3565287,41.764046,-72.682198,95.64447406337835
7,7,Delaware,217,853,973764,39.157307,-75.519722,222.8466034891411
8,8,District of Columbia,459,1415,705749,38.89511,-77.03637,650.3728662739869
9,9,Florida,3909,7072,21477737,30.438118,-84.281296,182.00241487266558
10,10,Georgia,2456,4056,10617423,33.749027,-84.388229,231.3179007749809
11,11,Hawaii,63,85,1415872,21.307442,-157.857376,44.49554762012385
12,12,Idaho,166,149,1787065,43.617775,-116.199722,92.88973820202399
13,13,Illinois,3409,13514,12671821,39.798363,-89.654961,269.02210818792344
14,14,Indiana,1608,2956,6732219,39.768623,-86.162643,238.85140991402687
15,15,Iowa,273,821,3155070,41.591087,-93.603729,86.52739875818921
16,16,Kansas,542,931,2913314,39.048191,-95.677956,186.04242453782874
17,17,Kentucky,1066,1894,4467673,38.186722,-84.875374,238.60295952725278
18,18,Louisiana,2179,4398,4648794,30.457069,-91.187393,468.7237163014752
19,19,Maine,112,132,1344212,44.307167,-69.781693,83.3201905651787
20,20,Maryland,1691,3167,6045680,38.978764,-76.490936,279.70385465324
21,21,Massachusetts,472,1701,6892503,42.358162,-71.063698,68.48020232998086
22,22,Michigan,1588,2990,9986857,42.733635,-84.555328,159.00898550965533
23,23,Minnesota,461,916,5639632,44.955097,-93.102211,81.74292223322372
24,24,Mississippi,1176,1883,2976149,32.303848,-90.182106,395.14150669203724
25,25,Missouri,2136,3585,6137428,38.579201,-92.172935,348.0285226971298
26,26,Montana,154,136,1068778,46.585709,-112.018417,144.08979226743065
27,27,Nebraska,225,674,1934408,40.808075,-96.699654,116.3146554398038
28,28,Nevada,799,951,3080156,39.163914,-119.766121,259.4024458501452
29,29,New Hampshire,88,144,1359711,43.206898,-71.537994,64.71963527543721
30,30,New Jersey,1168,2540,8882190,40.220596,-74.769913,131.49910100999867
31,31,New Mexico,495,543,2096829,35.68224,-105.939728,236.07075255063717
32,32,New York,1705,5059,19453561,42.652843,-73.757874,87.6446219794926
33,33,North Carolina,2225,4629,10488084,35.78043,-78.639099,212.14551675978186
34,34,North Dakota,69,130,762062,46.82085,-100.783318,90.54381402038155
35,35,Ohio,2508,5703,11689100,39.961346,-82.999069,214.55886253004937
36,36,Oklahoma,941,1550,3956971,35.492207,-97.503342,237.8081618490507
37,37,Oregon,446,694,4217737,44.938461,-123.030403,105.7439095894315
38,38,Pennsylvania,2395,5056,12801989,40.264378,-76.883598,187.0803044745625
39,39,Rhode Island,63,346,1059361,41.830914,-71.414963,59.46981246241838
40,40,South Carolina,1610,3084,5148714,34.000343,-81.033211,312.6994430065449
41,41,South Dakota,90,114,884659,44.367031,-100.346405,101.73411450061549
42,42,Tennessee,1824,4478,6829174,36.16581,-86.784241,267.0894020272437
43,43,Texas,5046,6106,28995881,30.27467,-97.740349,174.02471751073887
44,44,Utah,282,402,3205958,40.777477,-111.888237,87.96122719012538
45,45,Vermont,57,73,623989,44.262436,-72.580536,91.34776414327817
46,46,Virginia,1459,3566,8535519,37.538857,-77.43364,170.93278100605247
47,47,Washington,853,1287,7614893,47.035805,-122.905014,112.01733235122279
48,48,West Virginia,335,649,1792147,38.336246,-81.612328,186.92663046055932
49,49,Wisconsin,862,2117,5822434,43.074684,-89.384445,148.048050007952
50,50,Wyoming,73,52,578759,41.140259,-104.820236,126.13194784011998
